X-ray diffraction station at BSRF	Omega_2omega step mode	Wavelength(nm)=0.13807	2016/10/9 21:11:31
2Omega(degree)	Detector	InoChamber1	InoChamber2
44.12000	1794	74519	0
44.16000	1899	74529	0
44.20000	1944	74514	0
44.24000	2116	74474	0
44.28000	2170	74470	0
44.32000	2187	74475	0
44.36000	2079	74454	0
44.40000	1934	74474	0
44.44000	1780	74472	0
44.48000	1680	74456	0
44.52000	1606	74454	0
44.56000	1476	74458	0
44.60000	1390	74450	0
44.64000	1354	74457	0
44.68000	1257	74448	0
44.72000	1283	74421	0
44.76000	1202	74423	0
44.80000	1189	74408	0
44.84000	1151	74420	0
44.88000	1171	74427	0
44.92000	1092	74412	0
44.96000	1122	74407	0
45.00000	1027	74405	0
45.04000	1120	74392	0
45.08000	1080	74384	0
45.12000	1091	74379	0
45.16000	1122	74379	0
45.20000	1094	74392	0
45.24000	1141	74365	0
45.28000	1129	74360	0
45.32000	1120	74373	0
45.36000	1132	74353	0
45.40000	1099	74353	0
45.44000	1086	74340	0
45.48000	1046	74377	0
45.52000	1056	74426	0
45.56000	1040	74504	0
45.60000	1110	74560	0
45.64000	1075	74629	0
45.68000	1096	74702	0
45.72000	1025	74706	0
45.76000	1044	74688	0
45.80000	1076	74705	0
45.84000	1115	74713	0
45.88000	1078	74699	0
45.92000	1081	74678	0
45.96000	1095	74680	0
46.00000	1130	74679	0
46.04000	1063	74672	0
46.08000	1069	74652	0
46.12000	1082	74652	0
46.16000	1130	74654	0
46.20000	1099	74652	0
46.24000	1042	74632	0
46.28000	1079	74638	0
46.32000	1041	74623	0
46.36000	1097	74628	0
46.40000	1085	74616	0
46.44000	1036	74627	0
46.48000	1099	74625	0
46.52000	1096	74600	0
46.56000	1049	74612	0
46.60000	1099	74600	0
46.64000	1112	74613	0
46.68000	1193	74619	0
46.72000	1099	74614	0
46.76000	1178	74598	0
46.80000	1111	74614	0
46.84000	1113	74618	0
46.88000	1115	74612	0
46.92000	1149	74612	0
46.96000	1105	74614	0
47.00000	1069	74608	0
47.04000	1101	74603	0
47.08000	1009	74600	0
47.12000	1081	74600	0
47.16000	1047	74597	0
47.20000	1102	74592	0
47.24000	1035	74571	0
47.28000	1110	74583	0
47.32000	1058	74567	0
47.36000	1110	74565	0
47.40000	1056	74565	0
47.44000	1121	74557	0
47.48000	1086	74552	0
47.52000	1060	74555	0
47.56000	1125	74540	0
47.60000	1104	74530	0
47.64000	1099	74519	0
47.68000	1092	74522	0
47.72000	1094	74521	0
47.76000	1115	74525	0
47.80000	1100	74530	0
47.84000	1115	74514	0
47.88000	1029	74508	0
47.92000	1075	74512	0
47.96000	1123	74519	0
48.00000	1096	74500	0
48.04000	1139	74509	0
48.08000	1062	74507	0
48.12000	1117	74487	0
48.16000	1102	74496	0
48.20000	1083	74488	0
48.24000	1132	74492	0
48.28000	1106	74491	0
48.32000	1123	74481	0
48.36000	1116	74463	0
48.40000	1171	74454	0
48.44000	1056	74455	0
48.48000	1108	74446	0
48.52000	1173	74437	0
48.56000	1121	74419	0
48.60000	1155	74430	0
48.64000	1128	74411	0
48.68000	1128	74415	0
48.72000	1119	74396	0
48.76000	1082	74454	0
48.80000	1108	74541	0
48.84000	1186	74595	0
48.88000	1156	74666	0
48.92000	1169	74743	0
48.96000	1146	74786	0
49.00000	1112	74782	0
49.04000	1168	74779	0
49.08000	1121	74782	0
49.12000	1125	74785	0
49.16000	1153	74792	0
49.20000	1194	74769	0
49.24000	1269	74766	0
49.28000	1251	74749	0
49.32000	1191	74748	0
49.36000	1231	74713	0
49.40000	1317	74662	0
49.44000	1265	74666	0
49.48000	1255	74660	0
49.52000	1351	74673	0
49.56000	1292	74660	0
49.60000	1284	74643	0
49.64000	1319	74644	0
49.68000	1331	74639	0
49.72000	1395	74636	0
49.76000	1406	74630	0
49.80000	1451	74627	0
49.84000	1406	74606	0
49.88000	1432	74602	0
49.92000	1417	74594	0
49.96000	1499	74574	0
50.00000	1412	74553	0
50.04000	1398	74565	0
50.08000	1353	74557	0
50.12000	1386	74558	0
50.16000	1382	74555	0
50.20000	1341	74550	0
50.24000	1287	74553	0
50.28000	1333	74553	0
50.32000	1310	74541	0
50.36000	1330	74536	0
50.40000	1256	74526	0
50.44000	1298	74521	0
50.48000	1282	74511	0
50.52000	1329	74484	0
50.56000	1238	74498	0
50.60000	1207	74493	0
50.64000	1163	74502	0
50.68000	1146	74493	0
50.72000	1134	74478	0
50.76000	1166	74488	0
50.80000	1149	74487	0
50.84000	1104	74482	0
50.88000	1112	74465	0
50.92000	1158	74450	0
50.96000	1075	74443	0
51.00000	1107	74449	0
51.04000	1055	74446	0
51.08000	1124	74441	0
51.12000	1011	74428	0
51.16000	1112	74441	0
51.20000	1070	74433	0
51.24000	1080	74433	0
51.28000	1079	74422	0
51.32000	1161	74425	0
51.36000	1016	74416	0
51.40000	1093	74410	0
51.44000	1092	74396	0
51.48000	1053	74384	0
51.52000	1064	74377	0
51.56000	1135	74368	0
51.60000	1074	74360	0
51.64000	1044	74338	0
51.68000	1072	74363	0
51.72000	1099	74330	0
51.76000	1048	74336	0
